id,question,prediction,ground_truth,dataset,task_type,thinking_mode,is_correct,correctness_score,similarity,hhem_score,hhem_is_consistent,hhem_best_reference,hhem_threshold
sciq_0,"When resources are limited, populations exhibit what type of growth?",Logistic growth.,logistic growth,sciq,short_form,thinking,1,1.0,0.9687864780426024,0.5020980834960938,1,logistic growth,0.5
sciq_1,The sun gives off energy in tiny packets called what?,Photons.,photons,sciq,short_form,thinking,1,1.0,0.9333031177520752,0.5020980834960938,1,photons,0.5
sciq_2,"The three parts of the human small intestine is the duodenum, jejunum, and what?",Ileum,ileum,sciq,short_form,thinking,1,1.0,1.0,0.5020980834960938,1,ileum,0.5
sciq_3,What type of crust is made of basalt lavas that flow onto the seafloor?,Oceanic crust.,oceanic,sciq,short_form,thinking,1,1.0,0.8071999549865723,0.5020980834960938,1,oceanic,0.5
sciq_4,"The body cannot sustain for very long the bursts of energy mediated by epinephrine and norepinephrine, hormones associated with what stress response?",Fight-or-flight,fight-or-flight,sciq,short_form,thinking,1,1.0,1.0,0.5020980834960938,1,fight-or-flight,0.5
sciq_5,Chelicerae in spiders are often modified into fangs that perform what function?,Venom injection.,inject venom,sciq,short_form,thinking,0,0.0,0.9022092819213868,0.5020980834960938,1,inject venom,0.5
sciq_6,What involves sensing and focusing light from people and objects?,Eye,vision,sciq,short_form,thinking,0,0.0,0.7876072525978088,0.5020980834960938,1,vision,0.5
sciq_7,What is stored mainly in liver and muscle cells by humans and other vertebrates?,Glycogen.,glycogen,sciq,short_form,thinking,1,1.0,0.9447633028030396,0.5020980834960938,1,glycogen,0.5
sciq_8,What percentage of the field is tilled in traditional plowing?,50%,100%,sciq,short_form,thinking,0,0.0,0.7345762252807617,0.5020980834960938,1,100%,0.5
sciq_9,What type of components of the biosphere do chemical elements and water pass through during ecosystem recycle?,Biotic and abiotic components.,biotic and abiotic,sciq,short_form,thinking,1,1.0,0.91573166847229,0.5020980834960938,1,biotic and abiotic,0.5
sciq_10,"Digestive enzymes are released, or secreted, by the organs of which body system?",Digestive system.,digestive system,sciq,short_form,thinking,1,1.0,0.9124404191970824,0.5020980834960938,1,digestive system,0.5
sciq_11,What is the passing of traits from parents to offspring called?,Heredity.,heredity,sciq,short_form,thinking,1,1.0,0.9392043948173524,0.5020980834960938,1,heredity,0.5
sciq_12,Potassium hydroxide in soap is an example of what?,Alkali,base,sciq,short_form,thinking,0,0.0,0.5286667346954346,0.5020980834960938,1,base,0.5
sciq_13,What is the energy that matter possesses because of its location or structure?,Potential Energy,potential energy,sciq,short_form,thinking,1,1.0,0.9999998807907104,0.5020980834960938,1,potential energy,0.5
sciq_14,What is the radioactive process used in nuclear power plants and one type of nuclear bomb?,Fission.,fission,sciq,short_form,thinking,1,1.0,0.8995753526687622,0.5020980834960938,1,fission,0.5
sciq_15,Which chemist developed a process to remove carbon and dust particles in smoke?,Bunsen,frederick cottrell,sciq,short_form,thinking,0,0.0,0.4060519337654114,0.5020980834960938,1,frederick cottrell,0.5
sciq_16,"Carpal, metacarpal and phalanx bones comprise what part of the body?",Hand,hand,sciq,short_form,thinking,1,1.0,1.0000001192092896,0.5020980834960938,1,hand,0.5
sciq_17,What record shows that dinosaurs originated 200-250 million years ago?,Triassic,fossil record,sciq,short_form,thinking,0,0.0,0.613041877746582,0.5020980834960938,1,fossil record,0.5
sciq_18,What is the term for an exact genetic copy?,Clone,clone,sciq,short_form,thinking,1,1.0,1.0000001192092896,0.5020980834960938,1,clone,0.5
sciq_19,How many types of molecular orbitals can form from the overlap of two atomic s orbitals on adjacent atoms?,Two,two,sciq,short_form,thinking,1,1.0,1.0000001192092896,0.5020980834960938,1,two,0.5
sciq_20,What two types of tissue compose most of the non-pregnant and non-lactating female breast?,Glandular and connective.,adipose and collagenous,sciq,short_form,thinking,0,0.0,0.737541675567627,0.5020980834960938,1,adipose and collagenous,0.5
sciq_21,Each species has a particular way of making a living which is called its what?,Niche.,niche,sciq,short_form,thinking,1,1.0,0.9295135140419006,0.5020980834960938,1,niche,0.5
sciq_22,What provides clear evidence of evolution?,Fossil record,fossils,sciq,short_form,thinking,0,0.0,0.8326011896133423,0.5020980834960938,1,fossils,0.5
sciq_23,"Club mosses, horsetails, ferns, and whisk ferns are examples of what type of plants?",Pteridophytes.,seedless vascular plants,sciq,short_form,thinking,0,0.0,0.6485493183135986,0.5020980834960938,1,seedless vascular plants,0.5
sciq_24,What is the cause of common mold allergies?,Mold spores.,airborne mold spores,sciq,short_form,thinking,0,0.0,0.8722809553146362,0.5020980834960938,1,airborne mold spores,0.5
sciq_25,"In many places, small hills rise above the ocean floor. these hills are undersea volcanoes, called what?",Seamounts.,seamounts,sciq,short_form,thinking,1,1.0,0.9044411182403564,0.5020980834960938,1,seamounts,0.5
sciq_26,By exploding what the space probes get separated from their launchers?,Stage separation.,bolts,sciq,short_form,thinking,0,0.0,0.5004277229309082,0.5020980834960938,1,bolts,0.5
sciq_27,About what percentage of the earth's water is fresh water?,2.5%,three percent,sciq,short_form,thinking,0,0.0,0.7203896045684814,0.5020980834960938,1,three percent,0.5
sciq_28,"In the u. s. , the majority of electricity is produced by burning coal or what else?",Natural gas,fossil fuels,sciq,short_form,thinking,0,0.0,0.6976422071456909,0.5020980834960938,1,fossil fuels,0.5
sciq_29,"No charge is actually created or destroyed when charges are separated as we have been discussing. rather, existing charges are moved about. in fact, in all situations the total amount of charge is always this?",Conserved.,constant,sciq,short_form,thinking,0,0.0,0.646507978439331,0.5020980834960938,1,constant,0.5
sciq_30,What group of animals has adapted to live in both water and on land?,Amphibians.,amphibians,sciq,short_form,thinking,1,1.0,0.9085718393325806,0.5020980834960938,1,amphibians,0.5
sciq_31,"When present in large volumes, what color hue can water emit?",Blue.,blue,sciq,short_form,thinking,1,1.0,0.9090064764022828,0.5020980834960938,1,blue,0.5
sciq_32,What is the space between a neuron and the next cell?,Synaptic cleft.,the synapse,sciq,short_form,thinking,0,0.0,0.7960425615310669,0.5020980834960938,1,the synapse,0.5
sciq_33,What is the study of how forces affect the motion of objects?,Dynamics,dynamics,sciq,short_form,thinking,1,1.0,1.000000238418579,0.5020980834960938,1,dynamics,0.5
sciq_34,What is a large molecule with many repeating units?,Polymer.,polymer,sciq,short_form,thinking,1,1.0,0.9082363843917848,0.5020980834960938,1,polymer,0.5
sciq_35,"Vertebrate animals have two major body cavities, the dorsal and what is the other?",Ventral.,spinal cavity,sciq,short_form,thinking,0,0.0,0.6019596457481384,0.5020980834960938,1,spinal cavity,0.5
sciq_36,Gymnamoebas constitute a large and varied group of what?,Protists.,amoebozoans,sciq,short_form,thinking,0,0.0,0.7557007670402527,0.5020980834960938,1,amoebozoans,0.5
sciq_37,Reptiles are described by what term that means their internal temperature depends on the temperature of their environment?,Ectothermic.,ectothermic,sciq,short_form,thinking,1,1.0,0.931695520877838,0.5020980834960938,1,ectothermic,0.5
