id,question,prediction,ground_truth,dataset,task_type,thinking_mode,is_correct,correctness_score,similarity,sim_predicted_correct,failure_type,failure_cause
simpleqa_266,"How many girls are in ""Girls on the Bridge,"" Munch's painting from 1900 (in the version where some of them are looking at the river)?",3,Three,simpleqa,short_form,no_thinking,0,0.0,0.9156867265701294,1,false_positive,lexical_variation
simpleqa_94,"What day, month, and year did the head of the Turkish Red Crescent, who was accused of selling tents to earthquake survivors, resign?","May 13, 2023",12 May 2023,simpleqa,short_form,no_thinking,0,0.0,0.9084051251411438,1,false_positive,semantic_ambiguity
simpleqa_151,Between which two latitudes does Ghana lie?,Between 5°N and 12°N.,4° and 12°N,simpleqa,short_form,no_thinking,0,0.0,0.8737847805023193,1,false_positive,semantic_ambiguity
simpleqa_303,"What are the four classifications of techniques and methodologies for mental fatigue measurement mentioned in Faramarz Gharagozlou et al.'s 2015 research paper, ""Detecting Driver Mental Fatigue Based on EEG Alpha Power Changes During Simulated Driving""?","Subjective, Objective, Physiological, and Behavioral.","subjective,  psychological,  performance and physiological  methods",simpleqa,short_form,no_thinking,0,0.0,0.8661065697669983,1,false_positive,other
simpleqa_111,"In what month and year was Anna Yuryevna Netrebko named ""People's Artist of Russia""?",February 2012,February 2008,simpleqa,short_form,no_thinking,0,0.0,0.8529897928237915,1,false_positive,other
simpleqa_211,What were the year and month the US Food and Drug Administration (FDA) approved the first RSV vaccines?,2023 April,May 2023.,simpleqa,short_form,no_thinking,0,0.0,0.8300400972366333,1,false_positive,other
simpleqa_83,What is the resolution of the Cat B15 Q in pixels?,1600 x 1200,480 x 800,simpleqa,short_form,no_thinking,0,0.0,0.8210157155990601,1,false_positive,other
simpleqa_338,"In the British drama series Happy Valley, in which season and episode is Kirsten McAskill murdered by Royce?","Season 3, Episode 5.",Season 1 episode 3,simpleqa,short_form,no_thinking,0,0.0,0.7994776964187622,1,false_positive,semantic_ambiguity
simpleqa_309,"How many minutes and seconds is Karan Aujla's song ""It Ain't Legal""?",3:30,3:34,simpleqa,short_form,no_thinking,0,0.0,0.791977047920227,1,false_positive,lexical_variation
simpleqa_22,In which month and year did the UN General Assembly unanimously elect Maurice Strong to be the first head of the UN Environment?,September 1972,December 1972,simpleqa,short_form,no_thinking,0,0.0,0.7916969060897827,1,false_positive,semantic_ambiguity
simpleqa_483,What were the year and month when the Contract Law of the People's Republic of China was abolished?,2020 December,January 2021,simpleqa,short_form,no_thinking,0,0.0,0.7887070178985596,1,false_positive,lexical_variation
simpleqa_275,"Who was the father of the Russian stage actress and singer ""Baroness Olga Vadimovna von Root?""",Vladimir Root,Baron Vadim Nikolayevich von Root,simpleqa,short_form,no_thinking,0,0.0,0.7838291525840759,1,false_positive,semantic_ambiguity
simpleqa_31,"On what day, month, and year did Taiwanese conductor and violinist Felix Chen die?","April 1, 2016","April 9, 2018",simpleqa,short_form,no_thinking,0,0.0,0.7768595814704895,1,false_positive,other
simpleqa_101,What is the length in meters of Abdullah Bridge in Srinagar?,150 meters,390 metres,simpleqa,short_form,no_thinking,0,0.0,0.7695193886756897,1,false_positive,lexical_variation
simpleqa_299,"In which month and year did Harnaam Kaur first feature in the Teen Vogue article ""Instagrammers Challenge Body and Facial Hair Stigma""?",April 2017,March 2017,simpleqa,short_form,no_thinking,0,0.0,0.7675167322158813,1,false_positive,semantic_ambiguity
simpleqa_458,On what date did the last total lunar eclipse for three years occur?,"February 12, 2024","November 8, 2022",simpleqa,short_form,no_thinking,0,0.0,0.761431097984314,1,false_positive,lexical_variation
simpleqa_329,"What were the month, day, and year Peder Munk of Estvadgård was born?","April 1, 1585","April 22, 1534",simpleqa,short_form,no_thinking,0,0.0,0.7579904794692993,1,false_positive,other
simpleqa_170,"On what day, month, and year did the Winnipeg Free Press cease publishing its regular Sunday edition?","January 1, 2012","November 1, 2009",simpleqa,short_form,no_thinking,0,0.0,0.7570610642433167,1,false_positive,other
