id,question,prediction,ground_truth,dataset,task_type,thinking_mode,is_correct,correctness_score,similarity,poincare_scale
simpleqa_0,"What year was the municipality of Cómbita, Boyacá, Colombia, founded?",1851,1586,simpleqa,short_form,no_thinking,0,0.0,0.9121166,0.05
simpleqa_1,What was the number of recorded injuries in the Weesp train disaster of 1918 in the Netherlands?,12,42 injuries.,simpleqa,short_form,no_thinking,0,0.0,0.90596974,0.05
simpleqa_2,"Which village in Ontario was first settled in 1824 by Mr. A. Hurd, and had the Post Office established in 1836, with Mr. J. Leach being the first Postmaster, according to ""Conner & Coltson's Directory of the County of Ontario for 1869-70""?",Hurd's Corners,Prince Albert.,simpleqa,short_form,no_thinking,0,0.0,0.8996489,0.05
simpleqa_3,"What month, day, and year did Ciara perform in Tampa for her Jackie Tour?","July 23, 2011.","May 16, 2015",simpleqa,short_form,no_thinking,0,0.0,0.9103713,0.05
simpleqa_4,"In a 1988 paper, which author defined Mammalia phylogenetically as the crown group of mammals—the clade consisting of the most recent common ancestor of living monotremes and therian mammals?",Wolfgang K. von Koenigsmarck,Timothy Rowe,simpleqa,short_form,no_thinking,0,0.0,0.8921409,0.05
simpleqa_5,"What day, month, and year was Nathalie Ménigon born?","April 15, 1975",28 February 1957,simpleqa,short_form,no_thinking,0,0.0,0.9035743,0.05
simpleqa_6,"What was the name of the male victim in the famous 2012 Delhi gang rape and murder, commonly known as the ""Nirbhaya case""?",Rakesh Bihari Lal,Awindra Pratap Pandey,simpleqa,short_form,no_thinking,0,0.0,0.9062216,0.05
simpleqa_7,"Following the 2016 Orlando nightclub shooting, which county in which state was the only county in the United States to refuse to lower its flags to half-staff?",Hawaii County,Baldwin County in Alabama.,simpleqa,short_form,no_thinking,0,0.0,0.91077375,0.05
simpleqa_8,How old was Aniol Serrasolses when he kayaked for the first time down the largest glacial waterfall ever recorded in Norway?,23 years old,32,simpleqa,short_form,no_thinking,0,0.0,0.91355395,0.05
simpleqa_9,"Within plus or minus one minute, when was Müller substituted in the 2014 Champions League semi-final Real Madrid vs. Bayern match?",74th minute,74,simpleqa,short_form,no_thinking,1,1.0,0.93587476,0.05
simpleqa_10,What did Alison Garrs overdose on in the last episode of Season 2 of Happy Valley?,Painkillers.,Diazepam,simpleqa,short_form,no_thinking,0,0.0,0.91181856,0.05
simpleqa_11,What was the name of the cricket team Dr. Abu Baker Asvat played for?,South Africa,The Crescents,simpleqa,short_form,no_thinking,0,0.0,0.9010947,0.05
simpleqa_12,"For how many consecutive terms was the Indian politician Babanrao Shankar Gholap, alias Nana, elected to the Vidhan Sabha?",12 terms,5,simpleqa,short_form,no_thinking,0,0.0,0.90578026,0.05
simpleqa_13,In which year did Edward Meyrick first describe Cydalima mysteris?,1866,1886,simpleqa,short_form,no_thinking,0,0.0,0.9116983,0.05
simpleqa_14,"What year was the municipality of Salgar, Antioquia, Colombia, founded?",1851,1880,simpleqa,short_form,no_thinking,0,0.0,0.9178538,0.05
simpleqa_15,"What was the date, month, and year when the German Defence Minister Peter Struck announced further major changes to the German armed forces? A major part of this announcement was the plan to cut the German fighter fleet from 426 in early 2004 to 265 by 2015.",25 March 2004,"January 13, 2004",simpleqa,short_form,no_thinking,0,0.0,0.9266257,0.05
simpleqa_16,What was the Word of the Decade (2010–2019) according to the American Dialect Society?,"""Climate""",they,simpleqa,short_form,no_thinking,0,0.0,0.9057046,0.05
