id,question,prediction,ground_truth,dataset,task_type,thinking_mode,is_correct,correctness_score,similarity,poincare_scale,hhem_score,hhem_is_consistent,hhem_best_reference,hhem_threshold
sciq_0,"When resources are limited, populations exhibit what type of growth?",Logistic growth.,logistic growth,sciq,short_form,no_thinking,1,1.0,0.9752841,0.05,0.5020980834960938,1,logistic growth,0.5
sciq_1,The sun gives off energy in tiny packets called what?,Photons.,photons,sciq,short_form,no_thinking,1,1.0,0.964079,0.05,0.5020980834960938,1,photons,0.5
sciq_2,"The three parts of the human small intestine is the duodenum, jejunum, and what?",Ileum,ileum,sciq,short_form,no_thinking,1,1.0,1.0,0.05,0.5020980834960938,1,ileum,0.5
sciq_3,What type of crust is made of basalt lavas that flow onto the seafloor?,Oceanic crust.,oceanic,sciq,short_form,no_thinking,1,1.0,0.9397042,0.05,0.5020980834960938,1,oceanic,0.5
sciq_4,"The body cannot sustain for very long the bursts of energy mediated by epinephrine and norepinephrine, hormones associated with what stress response?",Fight-or-flight response.,fight-or-flight,sciq,short_form,no_thinking,1,1.0,0.95987165,0.05,0.5020980834960938,1,fight-or-flight,0.5
sciq_5,Chelicerae in spiders are often modified into fangs that perform what function?,Inject venom.,inject venom,sciq,short_form,no_thinking,1,1.0,0.96780336,0.05,0.5020980834960938,1,inject venom,0.5
sciq_6,What involves sensing and focusing light from people and objects?,Ophthalmologist,vision,sciq,short_form,no_thinking,0,0.0,0.91777,0.05,0.5020980834960938,1,vision,0.5
sciq_7,What is stored mainly in liver and muscle cells by humans and other vertebrates?,Glycogen.,glycogen,sciq,short_form,no_thinking,1,1.0,0.96725655,0.05,0.5020980834960938,1,glycogen,0.5
sciq_8,What percentage of the field is tilled in traditional plowing?,70%,100%,sciq,short_form,no_thinking,0,0.0,0.92360204,0.05,0.5020980834960938,1,100%,0.5
sciq_9,What type of components of the biosphere do chemical elements and water pass through during ecosystem recycle?,Biogeochemical cycles.,biotic and abiotic,sciq,short_form,no_thinking,0,0.0,0.926991,0.05,0.5020980834960938,1,biotic and abiotic,0.5
sciq_10,"Digestive enzymes are released, or secreted, by the organs of which body system?",Digestive system,digestive system,sciq,short_form,no_thinking,1,1.0,1.0,0.05,0.5020980834960938,1,digestive system,0.5
sciq_11,What is the passing of traits from parents to offspring called?,Heredity.,heredity,sciq,short_form,no_thinking,1,1.0,0.96567655,0.05,0.5020980834960938,1,heredity,0.5
sciq_12,Potassium hydroxide in soap is an example of what?,Alkali.,base,sciq,short_form,no_thinking,0,0.0,0.9122581,0.05,0.5020980834960938,1,base,0.5
sciq_13,What is the energy that matter possesses because of its location or structure?,Potential energy.,potential energy,sciq,short_form,no_thinking,1,1.0,0.96608484,0.05,0.5020980834960938,1,potential energy,0.5
sciq_14,What is the radioactive process used in nuclear power plants and one type of nuclear bomb?,Fission,fission,sciq,short_form,no_thinking,1,1.0,1.0,0.05,0.5020980834960938,1,fission,0.5
sciq_15,Which chemist developed a process to remove carbon and dust particles in smoke?,Humphry Davy,frederick cottrell,sciq,short_form,no_thinking,0,0.0,0.89698267,0.05,0.5020980834960938,1,frederick cottrell,0.5
sciq_16,"Carpal, metacarpal and phalanx bones comprise what part of the body?",Hand,hand,sciq,short_form,no_thinking,1,1.0,1.0,0.05,0.5020980834960938,1,hand,0.5
sciq_17,What record shows that dinosaurs originated 200-250 million years ago?,Cretaceous-Paleogene boundary.,fossil record,sciq,short_form,no_thinking,0,0.0,0.92397344,0.05,0.5020980834960938,1,fossil record,0.5
sciq_18,What is the term for an exact genetic copy?,Clone,clone,sciq,short_form,no_thinking,1,1.0,1.0,0.05,0.5020980834960938,1,clone,0.5
sciq_19,How many types of molecular orbitals can form from the overlap of two atomic s orbitals on adjacent atoms?,2,two,sciq,short_form,no_thinking,0,0.0,0.94980365,0.05,0.5020980834960938,1,two,0.5
sciq_20,What two types of tissue compose most of the non-pregnant and non-lactating female breast?,Dense fibrous tissue and adipose tissue.,adipose and collagenous,sciq,short_form,no_thinking,0,0.0,0.9387514,0.05,0.5020980834960938,1,adipose and collagenous,0.5
sciq_21,Each species has a particular way of making a living which is called its what?,Niche.,niche,sciq,short_form,no_thinking,1,1.0,0.9630916,0.05,0.5020980834960938,1,niche,0.5
sciq_22,What provides clear evidence of evolution?,Fossil record.,fossils,sciq,short_form,no_thinking,0,0.0,0.9437677,0.05,0.5020980834960938,1,fossils,0.5
sciq_23,"Club mosses, horsetails, ferns, and whisk ferns are examples of what type of plants?",Vascular plants.,seedless vascular plants,sciq,short_form,no_thinking,0,0.0,0.9420033,0.05,0.5020980834960938,1,seedless vascular plants,0.5
sciq_24,What is the cause of common mold allergies?,Mold spores.,airborne mold spores,sciq,short_form,no_thinking,0,0.0,0.9506401,0.05,0.5020980834960938,1,airborne mold spores,0.5
sciq_25,"In many places, small hills rise above the ocean floor. these hills are undersea volcanoes, called what?",Seamounts,seamounts,sciq,short_form,no_thinking,1,1.0,1.0,0.05,0.5020980834960938,1,seamounts,0.5
sciq_26,By exploding what the space probes get separated from their launchers?,Rocket stages.,bolts,sciq,short_form,no_thinking,0,0.0,0.9105088,0.05,0.5020980834960938,1,bolts,0.5
sciq_27,About what percentage of the earth's water is fresh water?,3%,three percent,sciq,short_form,no_thinking,0,0.0,0.9682404,0.05,0.5020980834960938,1,three percent,0.5
sciq_28,"In the u. s. , the majority of electricity is produced by burning coal or what else?",natural gas,fossil fuels,sciq,short_form,no_thinking,0,0.0,0.92508143,0.05,0.5020980834960938,1,fossil fuels,0.5
sciq_29,"No charge is actually created or destroyed when charges are separated as we have been discussing. rather, existing charges are moved about. in fact, in all situations the total amount of charge is always this?",Conserved.,constant,sciq,short_form,no_thinking,0,0.0,0.9192495,0.05,0.5020980834960938,1,constant,0.5
sciq_30,What group of animals has adapted to live in both water and on land?,Amphibians.,amphibians,sciq,short_form,no_thinking,1,1.0,0.9580745,0.05,0.5020980834960938,1,amphibians,0.5
sciq_31,"When present in large volumes, what color hue can water emit?",Blue.,blue,sciq,short_form,no_thinking,1,1.0,0.958172,0.05,0.5020980834960938,1,blue,0.5
sciq_32,What is the space between a neuron and the next cell?,Synapse.,the synapse,sciq,short_form,no_thinking,1,1.0,0.9603009,0.05,0.5020980834960938,1,the synapse,0.5
sciq_33,What is the study of how forces affect the motion of objects?,Mechanics.,dynamics,sciq,short_form,no_thinking,0,0.0,0.92607665,0.05,0.5020980834960938,1,dynamics,0.5
sciq_34,What is a large molecule with many repeating units?,Polymer.,polymer,sciq,short_form,no_thinking,1,1.0,0.95799935,0.05,0.5020980834960938,1,polymer,0.5
sciq_35,"Vertebrate animals have two major body cavities, the dorsal and what is the other?",Ventral.,spinal cavity,sciq,short_form,no_thinking,0,0.0,0.91453236,0.05,0.5020980834960938,1,spinal cavity,0.5
sciq_36,Gymnamoebas constitute a large and varied group of what?,Protozoa,amoebozoans,sciq,short_form,no_thinking,0,0.0,0.9371446,0.05,0.5020980834960938,1,amoebozoans,0.5
sciq_37,Reptiles are described by what term that means their internal temperature depends on the temperature of their environment?,Ectothermic.,ectothermic,sciq,short_form,no_thinking,1,1.0,0.96365666,0.05,0.5020980834960938,1,ectothermic,0.5
sciq_38,A bee will sometimes do a dance to tell other bees in the hive where to find what?,Food sources,food,sciq,short_form,no_thinking,1,1.0,0.9381434,0.05,0.5020980834960938,1,food,0.5
sciq_39,Salts that are neither acidic nor basic do not affect what property of the solution when dissolved in water?,Neutral salts.,ph,sciq,short_form,no_thinking,0,0.0,0.91553307,0.05,0.5020980834960938,1,ph,0.5
sciq_40,Ibuprofen and albuterol are examples of drugs whose _________ have different effects.,Mechanisms of action.,enantiomers,sciq,short_form,no_thinking,0,0.0,0.91330135,0.05,0.5020980834960938,1,enantiomers,0.5
sciq_41,The chemical and/or physical agents that cause mutations are called what?,Mutagens.,mutagens,sciq,short_form,no_thinking,1,1.0,0.9657696,0.05,0.5020980834960938,1,mutagens,0.5
sciq_42,"Unlike matter, which is continuously recycled through ecosystems, what must constantly be added to an ecosystem for use by organisms?",Energy,energy,sciq,short_form,no_thinking,1,1.0,0.99999994,0.05,0.5020980834960938,1,energy,0.5
sciq_43,When water is aerated it can provide a plant's roots with what gas for cellular respiration?,Oxygen,oxygen,sciq,short_form,no_thinking,1,1.0,1.0,0.05,0.5020980834960938,1,oxygen,0.5
sciq_44,What is a vector quantity with the same direction as the force called?,Impulse,impulse,sciq,short_form,no_thinking,1,1.0,1.0,0.05,0.5020980834960938,1,impulse,0.5
sciq_45,What are plant structures that contain male and/or female reproductive organs?,Flowers.,flowers,sciq,short_form,no_thinking,1,1.0,0.9524792,0.05,0.5020980834960938,1,flowers,0.5
sciq_46,Organs involved in digestion that do not have food pass through them are called?,Accessory organs.,accessory organs,sciq,short_form,no_thinking,1,1.0,0.97500336,0.05,0.5020980834960938,1,accessory organs,0.5
sciq_47,What artery takes blood to the brain?,Internal Carotid Artery,carotid,sciq,short_form,no_thinking,1,1.0,0.9368348,0.05,0.5020980834960938,1,carotid,0.5
sciq_48,What do ecologists study at every level?,Ecosystems.,ecosystems,sciq,short_form,no_thinking,1,1.0,0.9599081,0.05,0.5020980834960938,1,ecosystems,0.5
sciq_49,What is the term for when an embryo fixes itself to the side of the uterus?,Implantation.,implantation,sciq,short_form,no_thinking,1,1.0,0.95941794,0.05,0.5020980834960938,1,implantation,0.5
sciq_50,Cells that have a nucleus and other organelles which are membrane-bound are generally called what kinds of cells?,Eukaryotic cells.,eukaryotic,sciq,short_form,no_thinking,1,1.0,0.9522266,0.05,0.5020980834960938,1,eukaryotic,0.5
sciq_51,"While ecosystems need a constant input of energy for their organisms, what do ecosystems recycle?",Nutrients.,matter,sciq,short_form,no_thinking,0,0.0,0.9183661,0.05,0.5020980834960938,1,matter,0.5
sciq_52,What are the two most common silicates?,Feldspar and quartz.,feldspar and quartz,sciq,short_form,no_thinking,1,1.0,0.97293913,0.05,0.5020980834960938,1,feldspar and quartz,0.5
sciq_53,What unit do astronomers use to describe distances in space?,Light-year,light years,sciq,short_form,no_thinking,0,0.0,0.95870036,0.05,0.5020980834960938,1,light years,0.5
sciq_54,What type of telescopes collect and focus radio waves from distant objects?,Radio telescopes.,radio telescopes,sciq,short_form,no_thinking,1,1.0,0.9689736,0.05,0.5020980834960938,1,radio telescopes,0.5
sciq_55,"What nervous system is divided into two parts, the sensory division and the motor division?",Autonomic nervous system.,peripheral,sciq,short_form,no_thinking,0,0.0,0.91670513,0.05,0.5020980834960938,1,peripheral,0.5
sciq_56,Algae produce food using what process?,Photosynthesis.,photosynthesis,sciq,short_form,no_thinking,1,1.0,0.9602986,0.05,0.5020980834960938,1,photosynthesis,0.5
sciq_57,What indicates the speed at which a reaction proceeds?,Reaction rate.,the reaction rate,sciq,short_form,no_thinking,1,1.0,0.9653773,0.05,0.5020980834960938,1,the reaction rate,0.5
sciq_58,"Competition that occurs between members of the same species, which improves the species’ adaptations, is called what?",Intraspecific competition.,intraspecific competition,sciq,short_form,no_thinking,1,1.0,0.9844976,0.05,0.5020980834960938,1,intraspecific competition,0.5
sciq_59,Who wrote the book on the origin of species?,Charles Darwin,darwin,sciq,short_form,no_thinking,1,1.0,0.93860704,0.05,0.5020980834960938,1,darwin,0.5
sciq_60,"The tissue that will become the scrotum in a male becomes the labia in a female, thus, they are regarded as having what relationship?",Homologous tissues.,homologous,sciq,short_form,no_thinking,1,1.0,0.9457253,0.05,0.5020980834960938,1,homologous,0.5
sciq_61,What does a continuous string of earthquakes indicate about a volcano?,Volcano is about to erupt.,eruption is close,sciq,short_form,no_thinking,0,0.0,0.94985557,0.05,0.5020980834960938,1,eruption is close,0.5
sciq_62,The basic voltaic cell variations are the dry cell and the what?,Wet cell,lead storage battery,sciq,short_form,no_thinking,0,0.0,0.91186714,0.05,0.5020980834960938,1,lead storage battery,0.5
sciq_63,"What process is used for cell growth, repair of cuts and replacement of worn out cells?",Mitosis,cell division,sciq,short_form,no_thinking,0,0.0,0.9408154,0.05,0.5020980834960938,1,cell division,0.5
sciq_64,What is produced by the end of meiosis?,Haploid cells.,four haploid cells,sciq,short_form,no_thinking,0,0.0,0.955807,0.05,0.5020980834960938,1,four haploid cells,0.5
sciq_65,Earth's axis is an imaginary line passing through which poles?,North and South Poles,north and south,sciq,short_form,no_thinking,1,1.0,0.94053894,0.05,0.5020980834960938,1,north and south,0.5
sciq_66,An increase in the number of gas molecules in the same volume container causes what to increase?,Pressure.,pressure,sciq,short_form,no_thinking,1,1.0,0.9576747,0.05,0.5020980834960938,1,pressure,0.5
sciq_67,The bird ancestor that lived in trees developed what feature commonly associated with birds?,Feathers.,wings,sciq,short_form,no_thinking,0,0.0,0.92833954,0.05,0.5020980834960938,1,wings,0.5
