file,output_path,n_samples,hhem_mean_score,hhem_positive_rate,correctness_hhem_agreement,similarity_auc_vs_hhem
helm_natural_questions_no_thinking_bge-base_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_natural_questions_no_thinking_bge-base_similarity_with_hhem.csv,300,0.5020980834960938,1.0,0.09333333333333334,
helm_natural_questions_no_thinking_e5-base_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_natural_questions_no_thinking_e5-base_similarity_with_hhem.csv,300,0.5020980834960938,1.0,0.09333333333333334,
helm_natural_questions_no_thinking_minilm_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_natural_questions_no_thinking_minilm_similarity_with_hhem.csv,300,0.5020980834960938,1.0,0.09333333333333334,
helm_natural_questions_thinking_bge-base_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_natural_questions_thinking_bge-base_similarity_with_hhem.csv,300,0.5020980834960938,1.0,0.04,
helm_natural_questions_thinking_e5-base_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_natural_questions_thinking_e5-base_similarity_with_hhem.csv,300,0.5020980834960938,1.0,0.04,
helm_natural_questions_thinking_minilm_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_natural_questions_thinking_minilm_similarity_with_hhem.csv,300,0.5020980834960938,1.0,0.04,
helm_sciq_no_thinking_bge-base_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_sciq_no_thinking_bge-base_similarity_with_hhem.csv,500,0.5020980834960938,1.0,0.522,
helm_sciq_no_thinking_e5-base_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_sciq_no_thinking_e5-base_similarity_with_hhem.csv,500,0.5020980834960938,1.0,0.522,
helm_sciq_no_thinking_minilm_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_sciq_no_thinking_minilm_similarity_with_hhem.csv,500,0.5020980834960938,1.0,0.522,
helm_sciq_thinking_bge-base_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_sciq_thinking_bge-base_similarity_with_hhem.csv,500,0.5020980834960938,1.0,0.608,
helm_sciq_thinking_e5-base_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_sciq_thinking_e5-base_similarity_with_hhem.csv,500,0.5020980834960938,1.0,0.608,
helm_sciq_thinking_minilm_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_sciq_thinking_minilm_similarity_with_hhem.csv,500,0.5020980834960938,1.0,0.608,
helm_simpleqa_no_thinking_bge-base_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_simpleqa_no_thinking_bge-base_similarity_with_hhem.csv,500,0.5020980834960938,1.0,0.032,
helm_simpleqa_no_thinking_e5-base_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_simpleqa_no_thinking_e5-base_similarity_with_hhem.csv,500,0.5020980834960938,1.0,0.032,
helm_simpleqa_no_thinking_minilm_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_simpleqa_no_thinking_minilm_similarity_with_hhem.csv,500,0.5020980834960938,1.0,0.032,
helm_simpleqa_thinking_bge-base_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_simpleqa_thinking_bge-base_similarity_with_hhem.csv,500,0.5020980834960938,1.0,0.032,
helm_simpleqa_thinking_e5-base_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_simpleqa_thinking_e5-base_similarity_with_hhem.csv,500,0.5020980834960938,1.0,0.032,
helm_simpleqa_thinking_minilm_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_simpleqa_thinking_minilm_similarity_with_hhem.csv,500,0.5020980834960938,1.0,0.032,
helm_truthfulqa_no_thinking_bge-base_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_truthfulqa_no_thinking_bge-base_similarity_with_hhem.csv,817,0.5020980834960938,1.0,0.35006119951040393,
helm_truthfulqa_no_thinking_e5-base_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_truthfulqa_no_thinking_e5-base_similarity_with_hhem.csv,817,0.5020980834960938,1.0,0.35006119951040393,
helm_truthfulqa_no_thinking_minilm_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_truthfulqa_no_thinking_minilm_similarity_with_hhem.csv,817,0.5020980834960938,1.0,0.35006119951040393,
helm_truthfulqa_thinking_bge-base_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_truthfulqa_thinking_bge-base_similarity_with_hhem.csv,817,0.5020980834960938,1.0,0.28151774785801714,
helm_truthfulqa_thinking_e5-base_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_truthfulqa_thinking_e5-base_similarity_with_hhem.csv,817,0.5020980834960938,1.0,0.28151774785801714,
helm_truthfulqa_thinking_minilm_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/helm_truthfulqa_thinking_minilm_similarity_with_hhem.csv,817,0.5020980834960938,1.0,0.28151774785801714,
maxsim_natural_questions_no_thinking_bge-base_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/maxsim_natural_questions_no_thinking_bge-base_similarity_with_hhem.csv,300,0.5020980834960938,1.0,0.09333333333333334,
maxsim_natural_questions_no_thinking_e5-base_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/maxsim_natural_questions_no_thinking_e5-base_similarity_with_hhem.csv,300,0.5020980834960938,1.0,0.09333333333333334,
maxsim_natural_questions_no_thinking_minilm_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/maxsim_natural_questions_no_thinking_minilm_similarity_with_hhem.csv,300,0.5020980834960938,1.0,0.09333333333333334,
maxsim_natural_questions_thinking_bge-base_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/maxsim_natural_questions_thinking_bge-base_similarity_with_hhem.csv,300,0.5020980834960938,1.0,0.04,
maxsim_natural_questions_thinking_e5-base_similarity.csv,/hpc2hdd/home/yuxuanzhao/xuhaodong/NLP/results/hhem_backfill/maxsim_natural_questions_thinking_e5-base_similarity_with_hhem.csv,300,0.5020980834960938,1.0,0.04,
