dataset,thinking_mode,emb_model,auc,n_pos,n_neg,threshold,youden_j,f1_at_threshold
sciq,no_thinking,bge-base,0.9401882043636481,261,239,0.8424116978094206,0.7354879045832732,0.8735632183908046
sciq,no_thinking,minilm,0.9537825229644592,261,239,0.8573789219722976,0.7609932829958801,0.8757637474541752
sciq,no_thinking,e5-base,0.9334712002436717,261,239,0.9414094398968184,0.7268151140608219,0.8628230616302187
sciq,thinking,bge-base,0.9022724221267454,304,196,0.8418130889609831,0.6989124597207304,0.8735244519392917
sciq,thinking,minilm,0.9340426960257787,304,196,0.8593534419884035,0.7743018259935552,0.8912280701754387
sciq,thinking,e5-base,0.8898194146079484,304,196,0.9431130535638512,0.7086466165413534,0.8656195462478184
simpleqa,no_thinking,bge-base,0.9757231404958677,16,484,0.7782730211564644,0.9127066115702478,0.6976744186046512
simpleqa,no_thinking,minilm,0.9329803719008264,16,484,0.8097372588200785,0.8357438016528924,0.5714285714285714
simpleqa,no_thinking,e5-base,0.9305268595041322,16,484,0.9404423434530671,0.8522727272727273,0.6829268292682927
simpleqa,thinking,bge-base,0.9341425619834711,16,484,0.8721059273235762,0.875,0.9333333333333333
simpleqa,thinking,minilm,0.8790030991735537,16,484,0.9121521154802349,0.875,0.9333333333333333
simpleqa,thinking,e5-base,0.8855888429752067,16,484,0.954684818809356,0.8729338842975207,0.9032258064516129
natural_questions,no_thinking,bge-base,0.9048056722689075,28,272,0.6370349418577836,0.6980042016806722,0.4716981132075472
natural_questions,no_thinking,minilm,0.8937762605042018,28,272,0.4474726475999883,0.6670168067226889,0.4946236559139785
natural_questions,no_thinking,e5-base,0.9338235294117647,28,272,0.8190537700101957,0.7788865546218489,0.5952380952380952
natural_questions,thinking,bge-base,0.8796296296296297,12,288,0.6339621753548856,0.5972222222222223,0.2222222222222222
natural_questions,thinking,minilm,0.8686342592592593,12,288,0.4158997145205287,0.6006944444444446,0.2247191011235955
natural_questions,thinking,e5-base,0.8990162037037037,12,288,0.7870047373987322,0.6597222222222223,0.2268041237113402
truthfulqa,no_thinking,bge-base,0.7431683194395058,286,531,0.8231607107960398,0.39613870122344697,0.5996204933586338
truthfulqa,no_thinking,minilm,0.723354799625986,286,531,0.8079525277243187,0.34637114298131255,0.5682656826568266
truthfulqa,no_thinking,e5-base,0.7835460208341565,286,531,0.8507079461112095,0.48621811333675735,0.6688102893890675
truthfulqa,thinking,bge-base,0.8007406858751203,230,587,0.7928573610495083,0.4975779571883563,0.6258992805755396
truthfulqa,thinking,minilm,0.7628842307977187,230,587,0.8123978337450843,0.40754758906747646,0.5746102449888641
truthfulqa,thinking,e5-base,0.8132730908821569,230,587,0.8563771996665839,0.5452781275461076,0.6590909090909091
