id,question,prediction,ground_truth,dataset,task_type,thinking_mode,is_correct,correctness_score,similarity,sim_predicted_correct,failure_type,failure_cause
simpleqa_377,In which season and episode of Peaky Blinders do Tommy and Alfie discuss crossing the line?,"Season 3, Episode 5","Season 3, Episode 6",simpleqa,short_form,thinking,0,0.0,0.871309757232666,1,false_positive,semantic_ambiguity
simpleqa_210,What is the name of the ship named after Habba Khatoon?,Habba Khatoon,CGS Habba Khatoon,simpleqa,short_form,thinking,0,0.0,0.8691586256027222,1,false_positive,other
simpleqa_463,What patch number was the Space Creature set added to in Terraria?,1.3,1.2.1,simpleqa,short_form,thinking,0,0.0,0.8592119216918945,1,false_positive,lexical_variation
simpleqa_94,"What day, month, and year did the head of the Turkish Red Crescent, who was accused of selling tents to earthquake survivors, resign?",13 February 2023,12 May 2023,simpleqa,short_form,thinking,0,0.0,0.8501362800598145,1,false_positive,semantic_ambiguity
simpleqa_303,"What are the four classifications of techniques and methodologies for mental fatigue measurement mentioned in Faramarz Gharagozlou et al.'s 2015 research paper, ""Detecting Driver Mental Fatigue Based on EEG Alpha Power Changes During Simulated Driving""?","Subjective, Objective, Behavioral, Physiological.","subjective,  psychological,  performance and physiological  methods",simpleqa,short_form,thinking,0,0.0,0.8464659452438354,1,false_positive,other
simpleqa_337,What is the square footage of the gallery space of the State Hermitage Museum?,"55,000 square feet","719,480 square feet",simpleqa,short_form,thinking,0,0.0,0.8380475044250488,1,false_positive,other
simpleqa_338,"In the British drama series Happy Valley, in which season and episode is Kirsten McAskill murdered by Royce?","Season 3, Episode 5",Season 1 episode 3,simpleqa,short_form,thinking,0,0.0,0.8336328268051147,1,false_positive,semantic_ambiguity
simpleqa_275,"Who was the father of the Russian stage actress and singer ""Baroness Olga Vadimovna von Root?""",Count Vladimir Root,Baron Vadim Nikolayevich von Root,simpleqa,short_form,thinking,0,0.0,0.8238580822944641,1,false_positive,semantic_ambiguity
simpleqa_83,What is the resolution of the Cat B15 Q in pixels?,1280x720,480 x 800,simpleqa,short_form,thinking,0,0.0,0.8125073909759521,1,false_positive,lexical_variation
simpleqa_61,"What day, month, and year did Lothair I, King of Italy, become King of Middle Francia?","August 1, 840",10 August 843,simpleqa,short_form,thinking,0,0.0,0.7946444153785706,1,false_positive,other
simpleqa_309,"How many minutes and seconds is Karan Aujla's song ""It Ain't Legal""?",3:30,3:34,simpleqa,short_form,thinking,0,0.0,0.791977047920227,1,false_positive,lexical_variation
simpleqa_54,"What is the KEGG of Allopurinol, a medication used to decrease high blood uric acid levels?",D00124,D00224,simpleqa,short_form,thinking,0,0.0,0.7905412912368774,1,false_positive,lexical_variation
simpleqa_62,"What type of eclipse occurred on August 28, 1802, at 51.3°N, 105.7°E?",Total solar eclipse.,Annular solar eclipse,simpleqa,short_form,thinking,0,0.0,0.7885662317276001,1,false_positive,semantic_ambiguity
simpleqa_75,In what month and year did Diana Vreeland resign from Harper's Bazaar?,March 1963,"March, 1962.",simpleqa,short_form,thinking,0,0.0,0.7863134145736694,1,false_positive,other
simpleqa_87,"Which day, month, and year was the second episode of Season 2 of What We Do in the Shadows originally aired?","April 20, 2017","April 15, 2020",simpleqa,short_form,thinking,0,0.0,0.7847499847412109,1,false_positive,semantic_ambiguity
simpleqa_374,Which Google Sheets function is specifically designed to convert a Unix epoch timestamp to a regular datetime in the UTC timezone?,UNIXTODATE,EPOCHTODATE,simpleqa,short_form,thinking,0,0.0,0.7837926149368286,1,false_positive,lexical_variation
simpleqa_391,"What were the day, month, and year when Instagram introduced comment liking?","July 12, 2016","December 6, 2016",simpleqa,short_form,thinking,0,0.0,0.7734709978103638,1,false_positive,other
simpleqa_39,"What were the day, month, and year when the European Court of Human Rights ruled in favor of Carola van Kück, a German trans woman whose insurance company denied her reimbursement for sex reassignment surgery as well as hormone replacement therapy?",12 July 2001,12 June 2003,simpleqa,short_form,thinking,0,0.0,0.7674129009246826,1,false_positive,other
simpleqa_270,"What day, month, and year did Jovian become a Roman emperor?",26 April 413,27 June 363,simpleqa,short_form,thinking,0,0.0,0.7661428451538086,1,false_positive,lexical_variation
simpleqa_167,"What was the name of the first schoolhouse in Newbliss, Ontario, built around 1830?",Newbliss Schoolhouse,S.S. #5 Newbliss School.,simpleqa,short_form,thinking,0,0.0,0.7542406320571899,1,false_positive,other
simpleqa_292,"In her 2017 election affidavit, how much did the politician Umlesh Yadav mention her assets and liabilities were worth in crores?",1.5 crores,₹55.10 crores and liabilities are worth ₹7.95 crores.,simpleqa,short_form,thinking,0,0.0,0.7521764636039734,1,false_positive,lexical_variation
simpleqa_351,"What is the name of the team that Filip Hašek, the footballer, played against during his professional debut on July 22, 2018?",Slovan Bratislava,Slovácko,simpleqa,short_form,thinking,0,0.0,0.7497507333755493,1,false_positive,lexical_variation
simpleqa_145,"What were the month and year when Google's software engineer Gary Kačmarčík wrote that ChromeOS would access remote applications through a technology unofficially called ""Chromoting""?",April 2010,June 2010,simpleqa,short_form,thinking,0,0.0,0.7494385838508606,1,false_positive,other
simpleqa_460,What was P. V. Sanjay Kumar's position just before being appointed as a judge of the Supreme Court of India?,Judge of the Calcutta High Court,chief justice of the Manipur High Court,simpleqa,short_form,thinking,0,0.0,0.7466541528701782,1,false_positive,other
simpleqa_201,What is the name of the university where Alma S. Woolley became a nursing instructor and earned her M.S. in medical-surgical nursing?,University of Michigan,University of Pennsylvania,simpleqa,short_form,thinking,0,0.0,0.7452451586723328,1,false_positive,other
simpleqa_329,"What were the month, day, and year Peder Munk of Estvadgård was born?","April 13, 1620","April 22, 1534",simpleqa,short_form,thinking,0,0.0,0.7430999279022217,1,false_positive,other
simpleqa_151,Between which two latitudes does Ghana lie?,Ghana lies between 4°N and 12°N.,4° and 12°N,simpleqa,short_form,thinking,0,0.0,0.7401561737060547,1,false_positive,semantic_ambiguity
simpleqa_206,"When Donjuan Triumphant began his career as a breeding stallion in 2020, his stud fee was set at how many Euros?","10,000 Euros","€4,000",simpleqa,short_form,thinking,0,0.0,0.7400630712509155,1,false_positive,lexical_variation
simpleqa_479,In what year was the Krieger–Nelson Prize awarded to Penny Haxell?,2005,2006,simpleqa,short_form,thinking,0,0.0,0.7388653755187988,1,false_positive,lexical_variation
simpleqa_166,What were the two great masterpieces completed by Carl Friedrich Gauss as a private scholar?,"Disquisitiones Arithmeticae, Gauss's proof of the constructibility of the regular 17-gon.",Disquisitiones Arithmeticae and Theoria motus corporum coelestium,simpleqa,short_form,thinking,0,0.0,0.7368385791778564,1,false_positive,other
simpleqa_38,What year was Kiyosi Ito appointed to the Cabinet Statistics Bureau?,1936,1939,simpleqa,short_form,thinking,0,0.0,0.7309408187866211,1,false_positive,lexical_variation
simpleqa_389,"How many stolen vehicles were recovered in Nigeria by the Nigerian Police Force between 2002 and 2004, when Mustafa Adebayo Balogun was Nigeria's Inspector General of Police?","12,000","2,148",simpleqa,short_form,thinking,0,0.0,0.7298434972763062,1,false_positive,lexical_variation
simpleqa_274,How many years did Sidney Abbott attend Smith College?,2 years,3 years.,simpleqa,short_form,thinking,0,0.0,0.7275728583335876,1,false_positive,other
simpleqa_170,"On what day, month, and year did the Winnipeg Free Press cease publishing its regular Sunday edition?","April 1, 2008","November 1, 2009",simpleqa,short_form,thinking,0,0.0,0.725655734539032,1,false_positive,other
simpleqa_440,What was the nationality of the scientists who used lasers to measure Usain Bolt’s performance in the different stages of a 100-meter race held in September 2011?,British,Belgian,simpleqa,short_form,thinking,0,0.0,0.7222355604171753,1,false_positive,lexical_variation
simpleqa_318,From what university did John P. Sall receive an honorary doctorate in 2003?,University of North Carolina at Chapel Hill,North Carolina State University,simpleqa,short_form,thinking,0,0.0,0.7181413173675537,1,false_positive,other
simpleqa_458,On what date did the last total lunar eclipse for three years occur?,"May 26, 2020","November 8, 2022",simpleqa,short_form,thinking,0,0.0,0.7176294326782227,1,false_positive,lexical_variation
simpleqa_242,In what year did German instrument maker Ernst Abbe invent the apochromatic lens system for the microscope?,1870,1868,simpleqa,short_form,thinking,0,0.0,0.716636061668396,1,false_positive,lexical_variation
simpleqa_183,"What day, month, and year was the album ""The Weight of These Wings"" by Miranda Lambert certified platinum in the U.S.?","April 10, 2012","July 10, 2017",simpleqa,short_form,thinking,0,0.0,0.715095579624176,1,false_positive,other
simpleqa_299,"In which month and year did Harnaam Kaur first feature in the Teen Vogue article ""Instagrammers Challenge Body and Facial Hair Stigma""?",November 2017,March 2017,simpleqa,short_form,thinking,0,0.0,0.714409351348877,1,false_positive,semantic_ambiguity
simpleqa_51,What was the Minute Man sculpture by Daniel Chester French originally intended to be made out of?,Marble.,Stone,simpleqa,short_form,thinking,0,0.0,0.7132986783981323,1,false_positive,lexical_variation
simpleqa_399,"In which month and year did Apple add the ability for users to speak ""Hey Siri"" to enable the assistant without the requirement of physically handling the device?",October 2014,September 2014.,simpleqa,short_form,thinking,0,0.0,0.7087652683258057,1,false_positive,semantic_ambiguity
simpleqa_110,In which year was the John Brophy Award first awarded?,1990,1989,simpleqa,short_form,thinking,0,0.0,0.708271861076355,1,false_positive,lexical_variation
simpleqa_233,"How long, in minutes and seconds, is the song ""Empty"" by Bebe Rexha from the ""Better Mistakes"" album?",3:30,2:28,simpleqa,short_form,thinking,0,0.0,0.7075026035308838,1,false_positive,lexical_variation
simpleqa_130,"In what year was Sher Afgan Niazi, a Pakistani politician, diagnosed with liver cancer?",2009,2012,simpleqa,short_form,thinking,0,0.0,0.7062074542045593,1,false_positive,lexical_variation
simpleqa_220,"In 1989, how many kilometers long was the Cape Town Cycle Tour, formerly known as the Cape Argus Cycle Tour?",120 kilometres.,105 km,simpleqa,short_form,thinking,0,0.0,0.7026753425598145,1,false_positive,lexical_variation
simpleqa_202,"In which month and year did Naughty Dog's technology head, Christian Gyrling, depart the company after 17 years and was replaced by Travis McIntosh?",May 2021,10 Nov 2023,simpleqa,short_form,thinking,0,0.0,0.7025467753410339,1,false_positive,lexical_variation
simpleqa_172,What is the forest cover area of Uttarakhand in square kilometers according to the interpretation of IRS Resourcesat-2 LISS III satellite data from 2017-2018?,"48,000","24,303.04",simpleqa,short_form,thinking,0,0.0,0.7024588584899902,1,false_positive,lexical_variation
simpleqa_347,Which fraternity did John Gilbert Layton become a part of while at McGill University?,Delta Kappa Epsilon,Sigma Chi,simpleqa,short_form,thinking,0,0.0,0.7018555402755737,1,false_positive,lexical_variation
simpleqa_364,From which Louisiana university did former Belizean Prime Minister Manuel Esquivel earn his B.S. degree in physics?,Louisiana State University,"Loyola University, New Orleans",simpleqa,short_form,thinking,0,0.0,0.7016042470932007,1,false_positive,semantic_ambiguity
