id,question,prediction,ground_truth,dataset,task_type,thinking_mode,is_correct,correctness_score,similarity,sim_predicted_correct,failure_type,failure_cause
nq_257,what is the common name for gravitational force,The common name for gravitational force is gravity.,"['Gravity', 'Gravity, or gravitation']",natural_questions,long_form,no_thinking,0,0.25,0.8464358448982239,1,false_positive,long_form_reasoning
nq_48,where is the new football stadium in atlanta,"The new football stadium in Atlanta is called the Mercedes-Benz Stadium, which is located in the heart of the city, near the Georgia State Fairgrounds and the Atlanta Motor Speedway. It is the home venue for the Atlanta Falcons (NFL) and the Atlanta United FC (MLS).",['Mercedes-Benz Stadium'],natural_questions,long_form,no_thinking,0,0.1025641025641025,0.7929786443710327,1,false_positive,long_form_reasoning
nq_107,which organelle is the site of atp production and storage,The organelle that is the site of ATP production and storage is the **mitochondrion**.,['mitochondrion'],natural_questions,long_form,no_thinking,0,0.1666666666666666,0.7468826770782471,1,false_positive,long_form_reasoning
nq_268,state the process that divides one nucleus into two genetically identical nuclei,The process that divides one nucleus into two genetically identical nuclei is **mitosis**.,['mitosis'],natural_questions,long_form,no_thinking,0,0.1538461538461538,0.7466664910316467,1,false_positive,long_form_reasoning
nq_299,who has won the 2018 formula one australia grand prix tournament,The 2018 Formula One Australian Grand Prix was won by Sebastian Vettel of Red Bull Racing.,"['Ferrari driver Sebastian Vettel', 'Sebastian Vettel']",natural_questions,long_form,no_thinking,0,0.2352941176470588,0.7450987100601196,1,false_positive,long_form_reasoning
nq_77,where in the constitution is the executive branch referenced,The executive branch is referenced in Article II of the U.S. Constitution.,['Article Two'],natural_questions,long_form,no_thinking,0,0.1666666666666666,0.742077648639679,1,false_positive,long_form_reasoning
nq_63,where does the synthesis of new dna from existing dna occurs,"The synthesis of new DNA from existing DNA occurs during DNA replication. This process takes place in the nucleus of eukaryotic cells and in the cytoplasm of prokaryotic cells. DNA replication is a semi-conservative process, where each original DNA strand serves as a template for a new complementary strand, resulting in two DNA molecules, each containing one original and one new strand.",['origins of replication'],natural_questions,long_form,no_thinking,0,0.0677966101694915,0.7380549907684326,1,false_positive,long_form_reasoning
nq_16,the art and science of making objects from clay is called,Answer:陶艺 (Ceramics),"['Ceramic art', 'Ceramic']",natural_questions,long_form,no_thinking,0,0.0,0.7320705652236938,1,false_positive,long_form_reasoning
nq_9,what is the big gold dome in jerusalem,"The Big Gold Dome in Jerusalem refers to the Al-Aqsa Mosque complex, which includes the Dome of the Rock. This structure is a significant religious and historical site, serving as the Islamic shrine to the Prophet Muhammad and a symbol of the Islamic presence in Jerusalem. It is also a major site of worship for Muslims and a place of pilgrimage.",['Dome of the Rock'],natural_questions,long_form,no_thinking,0,0.1132075471698113,0.7260627746582031,1,false_positive,long_form_reasoning
nq_104,who was in charge of the revolutionary war,"The Revolutionary War was led by American colonial leaders, with George Washington serving as the Commander-in-Chief of the Continental Army. The war was fought between 1775 and 1783 against British forces. While Washington was the military leader, the overall direction and strategy were influenced by figures such as Thomas Jefferson, John Adams, and others in the Continental Congress. The war was ultimately won by the American colonies, leading to their independence from Britain.","['General George Washington', 'the king']",natural_questions,long_form,no_thinking,0,0.0597014925373134,0.7253444194793701,1,false_positive,long_form_reasoning
