id,question,prediction,ground_truth,dataset,task_type,thinking_mode,is_correct,correctness_score,similarity
sciq_0,"When resources are limited, populations exhibit what type of growth?",Logistic growth.,logistic growth,sciq,short_form,no_thinking,1,1.0,0.97281057
sciq_1,The sun gives off energy in tiny packets called what?,Photons.,photons,sciq,short_form,no_thinking,1,1.0,0.95571935
sciq_2,"The three parts of the human small intestine is the duodenum, jejunum, and what?",Ileum,ileum,sciq,short_form,no_thinking,1,1.0,0.97676986
sciq_3,What type of crust is made of basalt lavas that flow onto the seafloor?,Oceanic crust.,oceanic,sciq,short_form,no_thinking,1,1.0,0.88161385
sciq_4,"The body cannot sustain for very long the bursts of energy mediated by epinephrine and norepinephrine, hormones associated with what stress response?",Fight-or-flight response.,fight-or-flight,sciq,short_form,no_thinking,1,1.0,0.93772715
sciq_5,Chelicerae in spiders are often modified into fangs that perform what function?,Inject venom.,inject venom,sciq,short_form,no_thinking,1,1.0,0.95132744
sciq_6,What involves sensing and focusing light from people and objects?,Ophthalmologist,vision,sciq,short_form,no_thinking,0,0.0,0.82592756
sciq_7,What is stored mainly in liver and muscle cells by humans and other vertebrates?,Glycogen.,glycogen,sciq,short_form,no_thinking,1,1.0,0.9493197
sciq_8,What percentage of the field is tilled in traditional plowing?,70%,100%,sciq,short_form,no_thinking,0,0.0,0.85162896
sciq_9,What type of components of the biosphere do chemical elements and water pass through during ecosystem recycle?,Biogeochemical cycles.,biotic and abiotic,sciq,short_form,no_thinking,0,0.0,0.87131137
sciq_10,"Digestive enzymes are released, or secreted, by the organs of which body system?",Digestive system,digestive system,sciq,short_form,no_thinking,1,1.0,0.97757274
sciq_11,What is the passing of traits from parents to offspring called?,Heredity.,heredity,sciq,short_form,no_thinking,1,1.0,0.9530705
sciq_12,Potassium hydroxide in soap is an example of what?,Alkali.,base,sciq,short_form,no_thinking,0,0.0,0.8015952
sciq_13,What is the energy that matter possesses because of its location or structure?,Potential energy.,potential energy,sciq,short_form,no_thinking,1,1.0,0.9531619
sciq_14,What is the radioactive process used in nuclear power plants and one type of nuclear bomb?,Fission,fission,sciq,short_form,no_thinking,1,1.0,0.97742724
sciq_15,Which chemist developed a process to remove carbon and dust particles in smoke?,Humphry Davy,frederick cottrell,sciq,short_form,no_thinking,0,0.0,0.75059456
sciq_16,"Carpal, metacarpal and phalanx bones comprise what part of the body?",Hand,hand,sciq,short_form,no_thinking,1,1.0,0.97583646
sciq_17,What record shows that dinosaurs originated 200-250 million years ago?,Cretaceous-Paleogene boundary.,fossil record,sciq,short_form,no_thinking,0,0.0,0.865047
sciq_18,What is the term for an exact genetic copy?,Clone,clone,sciq,short_form,no_thinking,1,1.0,0.9706857
sciq_19,How many types of molecular orbitals can form from the overlap of two atomic s orbitals on adjacent atoms?,2,two,sciq,short_form,no_thinking,0,0.0,0.83547986
sciq_20,What two types of tissue compose most of the non-pregnant and non-lactating female breast?,Dense fibrous tissue and adipose tissue.,adipose and collagenous,sciq,short_form,no_thinking,0,0.0,0.90022624
sciq_21,Each species has a particular way of making a living which is called its what?,Niche.,niche,sciq,short_form,no_thinking,1,1.0,0.96089584
