id,question,prediction,ground_truth,dataset,task_type,thinking_mode,is_correct,correctness_score,similarity,poincare_scale
nq_0,who sold out jesus for 30 pieces of silver,The person who sold out Jesus for 30 pieces of silver was Judas Iscariot.,['Judas Iscariot'],natural_questions,long_form,no_thinking,0,0.2666666666666667,0.9481682,0.05
nq_1,who does the voice of cruz on cars 3,The voice of Cruz (Cruz Ramirez) in *Cars 3* is provided by Bonnie Hunt.,['Cristela Alonzo'],natural_questions,long_form,no_thinking,0,0.0,0.92694545,0.05
nq_2,who won the academy award for best original musical score,"The Academy Award for Best Original Musical Score is presented annually at the Academy Awards (Oscars). As of the most recent information available up to 2024, the winner of the 96th Academy Awards (for films released in 2023) was **""The Marvels""** for its original musical score. However, if you are asking about a specific year, please provide the year for an accurate answer.","['Alexandre Desplat', 'The Shape of Water']",natural_questions,long_form,no_thinking,0,0.0350877192982456,0.9225913,0.05
nq_3,when did avatar the last airbender first air,"*Avatar: The Last Airbender* first aired on September 12, 2005.","['February 2005', 'February 21, 2005', 'February\xa021,\xa02005']",natural_questions,long_form,no_thinking,0,0.1818181818181818,0.9374327,0.05
nq_4,who is hosting e live from the red carpet,"As of the latest updates, the specific host of ""E Live from the Red Carpet"" is not widely publicized, and the event is not a well-known or regularly scheduled event. For the most accurate and up-to-date information, it is recommended to check the official event website or social media channels for the most current details.","['Ryan Seacrest', 'Giuliana Rancic']",natural_questions,long_form,no_thinking,0,0.0,0.9318681,0.05
nq_5,what does g stand for in ncis los angeles,"In *NCIS: Los Angeles*, the letter ""G"" stands for ""Gang."" It is part of the team's acronym, which stands for ""Gang, G, and G,"" representing the team members: Special Agent Gabriel ""G"" Flores, Special Agent Marcus ""G"" Shepard, and Special Agent Daniel ""G"" Rhee. However, the ""G"" is not an official acronym but a nickname used by the team.",['Grisha'],natural_questions,long_form,no_thinking,0,0.0,0.92931306,0.05
nq_6,who sings too much time on my hands lyrics,"The lyrics ""Too Much Time on My Hands"" are sung by **Bryan Adams**. The song is from his 1993 album *Reckless*.",['Tommy Shaw'],natural_questions,long_form,no_thinking,0,0.0,0.9291803,0.05
nq_7,what type of reaction occurs to form a dipeptide,"The reaction that occurs to form a dipeptide is a **condensation reaction** (also called a **dehydration synthesis reaction**). In this reaction, two amino acids link together by losing a water molecule.",['peptide bond'],natural_questions,long_form,no_thinking,0,0.0,0.9443509,0.05
nq_8,when did the first marvel vs capcom come out,"The first *Marvel vs. Capcom* game was released on November 16, 2002.","['1998', 'in 1996', '1996']",natural_questions,long_form,no_thinking,0,0.0,0.92596215,0.05
nq_9,what is the big gold dome in jerusalem,"The Big Gold Dome in Jerusalem refers to the Al-Aqsa Mosque complex, which includes the Dome of the Rock. This structure is a significant religious and historical site, serving as the Islamic shrine to the Prophet Muhammad and a symbol of the Islamic presence in Jerusalem. It is also a major site of worship for Muslims and a place of pilgrimage.",['Dome of the Rock'],natural_questions,long_form,no_thinking,0,0.1132075471698113,0.9408166,0.05
