id,question,prediction,ground_truth,dataset,task_type,thinking_mode,is_correct,correctness_score,similarity,hhem_score,hhem_is_consistent,hhem_best_reference,hhem_threshold
simpleqa_0,"What year was the municipality of Cómbita, Boyacá, Colombia, founded?",1851,1586,simpleqa,short_form,no_thinking,0,0.0,0.5780246,0.5020980834960938,1,1586,0.5
simpleqa_1,What was the number of recorded injuries in the Weesp train disaster of 1918 in the Netherlands?,12,42 injuries.,simpleqa,short_form,no_thinking,0,0.0,0.51365507,0.5020980834960938,1,42 injuries.,0.5
simpleqa_2,"Which village in Ontario was first settled in 1824 by Mr. A. Hurd, and had the Post Office established in 1836, with Mr. J. Leach being the first Postmaster, according to ""Conner & Coltson's Directory of the County of Ontario for 1869-70""?",Hurd's Corners,Prince Albert.,simpleqa,short_form,no_thinking,0,0.0,0.44218057,0.5020980834960938,1,Prince Albert.,0.5
simpleqa_3,"What month, day, and year did Ciara perform in Tampa for her Jackie Tour?","July 23, 2011.","May 16, 2015",simpleqa,short_form,no_thinking,0,0.0,0.5602584,0.5020980834960938,1,"May 16, 2015",0.5
simpleqa_4,"In a 1988 paper, which author defined Mammalia phylogenetically as the crown group of mammals—the clade consisting of the most recent common ancestor of living monotremes and therian mammals?",Wolfgang K. von Koenigsmarck,Timothy Rowe,simpleqa,short_form,no_thinking,0,0.0,0.35016525,0.5020980834960938,1,Timothy Rowe,0.5
simpleqa_5,"What day, month, and year was Nathalie Ménigon born?","April 15, 1975",28 February 1957,simpleqa,short_form,no_thinking,0,0.0,0.48720467,0.5020980834960938,1,28 February 1957,0.5
simpleqa_6,"What was the name of the male victim in the famous 2012 Delhi gang rape and murder, commonly known as the ""Nirbhaya case""?",Rakesh Bihari Lal,Awindra Pratap Pandey,simpleqa,short_form,no_thinking,0,0.0,0.51639175,0.5020980834960938,1,Awindra Pratap Pandey,0.5
simpleqa_7,"Following the 2016 Orlando nightclub shooting, which county in which state was the only county in the United States to refuse to lower its flags to half-staff?",Hawaii County,Baldwin County in Alabama.,simpleqa,short_form,no_thinking,0,0.0,0.5643901,0.5020980834960938,1,Baldwin County in Alabama.,0.5
simpleqa_8,How old was Aniol Serrasolses when he kayaked for the first time down the largest glacial waterfall ever recorded in Norway?,23 years old,32,simpleqa,short_form,no_thinking,0,0.0,0.59235805,0.5020980834960938,1,32,0.5
simpleqa_9,"Within plus or minus one minute, when was Müller substituted in the 2014 Champions League semi-final Real Madrid vs. Bayern match?",74th minute,74,simpleqa,short_form,no_thinking,1,1.0,0.7810408,0.5020980834960938,1,74,0.5
simpleqa_10,What did Alison Garrs overdose on in the last episode of Season 2 of Happy Valley?,Painkillers.,Diazepam,simpleqa,short_form,no_thinking,0,0.0,0.5750197,0.5020980834960938,1,Diazepam,0.5
simpleqa_11,What was the name of the cricket team Dr. Abu Baker Asvat played for?,South Africa,The Crescents,simpleqa,short_form,no_thinking,0,0.0,0.4590072,0.5020980834960938,1,The Crescents,0.5
simpleqa_12,"For how many consecutive terms was the Indian politician Babanrao Shankar Gholap, alias Nana, elected to the Vidhan Sabha?",12 terms,5,simpleqa,short_form,no_thinking,0,0.0,0.511591,0.5020980834960938,1,5,0.5
simpleqa_13,In which year did Edward Meyrick first describe Cydalima mysteris?,1866,1886,simpleqa,short_form,no_thinking,0,0.0,0.57380366,0.5020980834960938,1,1886,0.5
simpleqa_14,"What year was the municipality of Salgar, Antioquia, Colombia, founded?",1851,1880,simpleqa,short_form,no_thinking,0,0.0,0.63362575,0.5020980834960938,1,1880,0.5
simpleqa_15,"What was the date, month, and year when the German Defence Minister Peter Struck announced further major changes to the German armed forces? A major part of this announcement was the plan to cut the German fighter fleet from 426 in early 2004 to 265 by 2015.",25 March 2004,"January 13, 2004",simpleqa,short_form,no_thinking,0,0.0,0.7104615,0.5020980834960938,1,"January 13, 2004",0.5
simpleqa_16,What was the Word of the Decade (2010–2019) according to the American Dialect Society?,"""Climate""",they,simpleqa,short_form,no_thinking,0,0.0,0.51076543,0.5020980834960938,1,they,0.5
simpleqa_17,"For how many years did John Constable (English landscape painter) work on ""The Opening of Waterloo Bridge""?",18 years,13,simpleqa,short_form,no_thinking,0,0.0,0.5705921,0.5020980834960938,1,13,0.5
