id,question,prediction,ground_truth,dataset,task_type,thinking_mode,is_correct,correctness_score,similarity,sim_predicted_correct,failure_type,failure_cause
nq_257,what is the common name for gravitational force,The common name for gravitational force is **gravity**.,"['Gravity', 'Gravity, or gravitation']",natural_questions,long_form,thinking,0,0.25,0.8284468650817871,1,false_positive,long_form_reasoning
nq_280,how do you spell padawan from star wars,"The correct spelling of ""padawan"" from Star Wars is **P-A-D-A-W-A-N**.",['Padawan'],natural_questions,long_form,thinking,0,0.1538461538461538,0.7845076322555542,1,false_positive,long_form_reasoning
nq_11,the region that stretches between the black and caspian seas,"The region between the Black Sea and the Caspian Sea is known as the **Caucasus**. It includes the Caucasus Mountains and the surrounding areas, stretching from the eastern coast of the Black Sea to the western shores of the Caspian Sea.","['The Caucasus Mountains', 'Caucasus Mountains']",natural_questions,long_form,thinking,0,0.1212121212121212,0.7843043804168701,1,false_positive,long_form_reasoning
nq_48,where is the new football stadium in atlanta,"The new football stadium in Atlanta is the **Mercedes-Benz Stadium**, located in the heart of the city, near the Atlanta BeltLine. It serves as the home venue for the Atlanta Falcons (NFL) and Atlanta United FC (MLS).",['Mercedes-Benz Stadium'],natural_questions,long_form,thinking,0,0.125,0.7817128896713257,1,false_positive,long_form_reasoning
nq_9,what is the big gold dome in jerusalem,"The big gold dome in Jerusalem is the **Dome of the Rock**, a prominent Islamic shrine located on the Temple Mount. It symbolizes the Prophet Muhammad's ""Night Journey"" to heaven and is a significant religious site for Muslims.",['Dome of the Rock'],natural_questions,long_form,thinking,0,0.1764705882352941,0.7766886949539185,1,false_positive,long_form_reasoning
nq_99,the general term for software that is designed to damage disable or steal data is,"The general term for software designed to damage, disable, or steal data is **malware**.",['Malware'],natural_questions,long_form,thinking,0,0.1428571428571428,0.7765021324157715,1,false_positive,long_form_reasoning
nq_266,who is the cast of the new tomb raider movie,"The 2023 reboot *Tomb Raider* features a new cast, including **Alicia Vikander** as Lara Croft, **Dominic Cooper** as Marcus Brody, and **James Purefoy** as the antagonist. The film marks a fresh start, replacing the 2013 version's cast.",['Alicia Vikander as Lara Croft'],natural_questions,long_form,thinking,0,0.2777777777777777,0.764535665512085,1,false_positive,long_form_reasoning
nq_250,what is the job of the whip in congress,"The whip in Congress is responsible for ensuring party discipline, coordinating with members to secure votes on key issues, and gathering information on legislation. They also monitor the legislative calendar and communicate with party leadership to align the party's agenda.",['to ensure party discipline'],natural_questions,long_form,thinking,0,0.1463414634146341,0.7640197277069092,1,false_positive,long_form_reasoning
nq_147,the first element on the periodic table is,The first element on the periodic table is **hydrogen**.,"['Hydro\xadgen', 'hydrogen']",natural_questions,long_form,thinking,0,0.25,0.7625457048416138,1,false_positive,long_form_reasoning
nq_235,how many hospitals are there in the united states,"As of the most recent data (2022), there are approximately **5,800 hospitals** in the United States. This number includes both public and private hospitals.","['5,534 registered hospitals', '5,534']",natural_questions,long_form,thinking,0,0.08,0.7607101798057556,1,false_positive,long_form_reasoning
nq_179,where does the optic nerve cross the midline ​,"The optic nerve does not cross the midline. The crossing of the optic nerves occurs at the **optic chiasm**, where the nasal fibers of each optic nerve cross to the opposite side. The optic nerve itself exits the eye and is not involved in midline crossing.",['optic chiasm'],natural_questions,long_form,thinking,0,0.1025641025641025,0.7477317452430725,1,false_positive,long_form_reasoning
nq_198,who was the ruler of england in 1616,"The ruler of England in 1616 was **James I** (James VI of Scotland), who reigned from 1603 until his death in 1625.",['James I'],natural_questions,long_form,thinking,0,0.1739130434782608,0.7464690208435059,1,false_positive,long_form_reasoning
nq_268,state the process that divides one nucleus into two genetically identical nuclei,"The process is **mitosis**. It involves the division of a single nucleus into two genetically identical nuclei through a series of stages: prophase, metaphase, anaphase, and telophase.",['mitosis'],natural_questions,long_form,thinking,0,0.0833333333333333,0.746415376663208,1,false_positive,long_form_reasoning
nq_76,who explored waters of cuba the bahamas and hispaniola,"Christopher Columbus explored the waters of Cuba, the Bahamas, and Hispaniola during his 1492 voyage. He first landed in the Bahamas, then sailed to Hispaniola, and later encountered Cuba.",['Christopher Columbus'],natural_questions,long_form,thinking,0,0.1428571428571428,0.7442309856414795,1,false_positive,long_form_reasoning
nq_107,which organelle is the site of atp production and storage,The mitochondria are the site of ATP production and storage.,['mitochondrion'],natural_questions,long_form,thinking,0,0.0,0.7417674660682678,1,false_positive,long_form_reasoning
nq_221,right to property according to the constitution of india is a,"The right to property according to the Constitution of India is a **legal right**, not a fundamental right. It was previously a fundamental right under Article 19(1)(f) but was removed from the list of fundamental rights by the 44th Amendment Act, 1978.",['constitutional right'],natural_questions,long_form,thinking,0,0.054054054054054,0.7400462627410889,1,false_positive,long_form_reasoning
nq_16,the art and science of making objects from clay is called,The art and science of making objects from clay is called **ceramics**.,"['Ceramic art', 'Ceramic']",natural_questions,long_form,thinking,0,0.1538461538461538,0.737387478351593,1,false_positive,long_form_reasoning
nq_195,when does the cannes film festival take place,"The Cannes Film Festival takes place in May, typically from the first Monday of the month to the following Monday, lasting about 10 days. The exact dates vary slightly each year but generally occur in the second week of May.","['Cannes, France', 'usually in May']",natural_questions,long_form,thinking,0,0.1081081081081081,0.7369797825813293,1,false_positive,long_form_reasoning
nq_104,who was in charge of the revolutionary war,"The Revolutionary War was led by **George Washington** as the Commander-in-Chief of the Continental Army, while the **Continental Congress** (representing the colonies) oversaw war efforts and governance.","['General George Washington', 'the king']",natural_questions,long_form,thinking,0,0.16,0.7323536276817322,1,false_positive,long_form_reasoning
nq_102,another name for the torso is the blank region of the body,The torso is also called the **trunk** region of the body.,['trunk'],natural_questions,long_form,thinking,0,0.2222222222222222,0.7305992841720581,1,false_positive,long_form_reasoning
nq_63,where does the synthesis of new dna from existing dna occurs,"The synthesis of new DNA from existing DNA occurs during **DNA replication**, which takes place in the **nucleus** of eukaryotic cells and in the **cytoplasm** of prokaryotic cells.",['origins of replication'],natural_questions,long_form,thinking,0,0.1428571428571428,0.7290608286857605,1,false_positive,long_form_reasoning
nq_199,who won the champions league final in 2016,"The 2016 UEFA Champions League final was won by **Real Madrid**, who defeated **Atletico Madrid** 4-1 in a dramatic match at the Santiago Bernabéu Stadium. This marked Real Madrid's 11th Champions League title.",['Real Madrid'],natural_questions,long_form,thinking,0,0.125,0.7288638353347778,1,false_positive,long_form_reasoning
nq_7,what type of reaction occurs to form a dipeptide,"The formation of a dipeptide occurs through a **condensation reaction** (also called a **dehydration synthesis reaction**), where two amino acids link via a peptide bond, releasing a water molecule in the process.",['peptide bond'],natural_questions,long_form,thinking,0,0.1481481481481481,0.7282595634460449,1,false_positive,long_form_reasoning
nq_285,who was elected president of the united states in 1928,The president of the United States elected in 1928 was **Herbert Hoover**. He was the Republican candidate and won the election against Democratic nominee Al Smith.,['Herbert Hoover'],natural_questions,long_form,thinking,0,0.1666666666666666,0.7262985706329346,1,false_positive,long_form_reasoning
nq_252,what is australia's location in the world and region,"Australia is a country located in the southern hemisphere, in the eastern hemisphere, and part of the Oceania region. It is situated between the Pacific Ocean to the east and the Indian Ocean to the west, with the Tasman Sea separating it from New Zealand.",['Oceania'],natural_questions,long_form,thinking,0,0.054054054054054,0.726253092288971,1,false_positive,long_form_reasoning
nq_167,who presides over the highest criminal court in a district,"The presiding officer of the highest criminal court in a district is the **district judge**. In the U.S. federal system, this role is held by the judge of the U.S. District Court, which is the trial court for federal criminal cases.",['District Judge'],natural_questions,long_form,thinking,0,0.1142857142857143,0.7209838628768921,1,false_positive,long_form_reasoning
nq_40,where do kidneys for kidney transplant come from,"Kidneys for transplantation come from two primary sources: **deceased donors** (individuals who have been declared brain dead or have cardiac arrest) and **living donors** (individuals who donate a kidney, often family members or unrelated volunteers).",['living-donor'],natural_questions,long_form,thinking,0,0.0,0.7079384326934814,1,false_positive,long_form_reasoning
nq_35,what is the 180 degree line of longitude called,The 180-degree line of longitude is called the **International Date Line**.,"['180th meridian or antimeridian', '180th meridian', 'antimeridian']",natural_questions,long_form,thinking,0,0.0,0.707192599773407,1,false_positive,long_form_reasoning
