id,question,prediction,ground_truth,dataset,task_type,thinking_mode,is_correct,correctness_score,similarity
sciq_0,"When resources are limited, populations exhibit what type of growth?",Logistic growth.,logistic growth,sciq,short_form,no_thinking,1,1.0,0.9687864780426025
sciq_1,The sun gives off energy in tiny packets called what?,Photons.,photons,sciq,short_form,no_thinking,1,1.0,0.9333031177520752
sciq_2,"The three parts of the human small intestine is the duodenum, jejunum, and what?",Ileum,ileum,sciq,short_form,no_thinking,1,1.0,1.0000001192092896
sciq_3,What type of crust is made of basalt lavas that flow onto the seafloor?,Oceanic crust.,oceanic,sciq,short_form,no_thinking,1,1.0,0.8071999549865723
sciq_4,"The body cannot sustain for very long the bursts of energy mediated by epinephrine and norepinephrine, hormones associated with what stress response?",Fight-or-flight response.,fight-or-flight,sciq,short_form,no_thinking,1,1.0,0.9163990020751953
sciq_5,Chelicerae in spiders are often modified into fangs that perform what function?,Inject venom.,inject venom,sciq,short_form,no_thinking,1,1.0,0.946622908115387
sciq_6,What involves sensing and focusing light from people and objects?,Ophthalmologist,vision,sciq,short_form,no_thinking,0,0.0,0.6328455209732056
sciq_7,What is stored mainly in liver and muscle cells by humans and other vertebrates?,Glycogen.,glycogen,sciq,short_form,no_thinking,1,1.0,0.9447633028030396
sciq_8,What percentage of the field is tilled in traditional plowing?,70%,100%,sciq,short_form,no_thinking,0,0.0,0.6850789189338684
sciq_9,What type of components of the biosphere do chemical elements and water pass through during ecosystem recycle?,Biogeochemical cycles.,biotic and abiotic,sciq,short_form,no_thinking,0,0.0,0.7134506702423096
sciq_10,"Digestive enzymes are released, or secreted, by the organs of which body system?",Digestive system,digestive system,sciq,short_form,no_thinking,1,1.0,1.0
sciq_11,What is the passing of traits from parents to offspring called?,Heredity.,heredity,sciq,short_form,no_thinking,1,1.0,0.9392043948173523
sciq_12,Potassium hydroxide in soap is an example of what?,Alkali.,base,sciq,short_form,no_thinking,0,0.0,0.5794479846954346
sciq_13,What is the energy that matter possesses because of its location or structure?,Potential energy.,potential energy,sciq,short_form,no_thinking,1,1.0,0.9406670331954956
sciq_14,What is the radioactive process used in nuclear power plants and one type of nuclear bomb?,Fission,fission,sciq,short_form,no_thinking,1,1.0,1.0
sciq_15,Which chemist developed a process to remove carbon and dust particles in smoke?,Humphry Davy,frederick cottrell,sciq,short_form,no_thinking,0,0.0,0.41039764881134033
sciq_16,"Carpal, metacarpal and phalanx bones comprise what part of the body?",Hand,hand,sciq,short_form,no_thinking,1,1.0,1.0000001192092896
sciq_17,What record shows that dinosaurs originated 200-250 million years ago?,Cretaceous-Paleogene boundary.,fossil record,sciq,short_form,no_thinking,0,0.0,0.6882591247558594
sciq_18,What is the term for an exact genetic copy?,Clone,clone,sciq,short_form,no_thinking,1,1.0,1.0000001192092896
sciq_19,How many types of molecular orbitals can form from the overlap of two atomic s orbitals on adjacent atoms?,2,two,sciq,short_form,no_thinking,0,0.0,0.8677992820739746
sciq_20,What two types of tissue compose most of the non-pregnant and non-lactating female breast?,Dense fibrous tissue and adipose tissue.,adipose and collagenous,sciq,short_form,no_thinking,0,0.0,0.8008572459220886
sciq_21,Each species has a particular way of making a living which is called its what?,Niche.,niche,sciq,short_form,no_thinking,1,1.0,0.9295135140419006
sciq_22,What provides clear evidence of evolution?,Fossil record.,fossils,sciq,short_form,no_thinking,0,0.0,0.8330336213111877
sciq_23,"Club mosses, horsetails, ferns, and whisk ferns are examples of what type of plants?",Vascular plants.,seedless vascular plants,sciq,short_form,no_thinking,0,0.0,0.8220587968826294
sciq_24,What is the cause of common mold allergies?,Mold spores.,airborne mold spores,sciq,short_form,no_thinking,0,0.0,0.8722809553146362
sciq_25,"In many places, small hills rise above the ocean floor. these hills are undersea volcanoes, called what?",Seamounts,seamounts,sciq,short_form,no_thinking,1,1.0,1.0
sciq_26,By exploding what the space probes get separated from their launchers?,Rocket stages.,bolts,sciq,short_form,no_thinking,0,0.0,0.5616719126701355
sciq_27,About what percentage of the earth's water is fresh water?,3%,three percent,sciq,short_form,no_thinking,0,0.0,0.9480853080749512
sciq_28,"In the u. s. , the majority of electricity is produced by burning coal or what else?",natural gas,fossil fuels,sciq,short_form,no_thinking,0,0.0,0.6976422071456909
sciq_29,"No charge is actually created or destroyed when charges are separated as we have been discussing. rather, existing charges are moved about. in fact, in all situations the total amount of charge is always this?",Conserved.,constant,sciq,short_form,no_thinking,0,0.0,0.646507978439331
sciq_30,What group of animals has adapted to live in both water and on land?,Amphibians.,amphibians,sciq,short_form,no_thinking,1,1.0,0.9085718393325806
sciq_31,"When present in large volumes, what color hue can water emit?",Blue.,blue,sciq,short_form,no_thinking,1,1.0,0.9090064764022827
